paper_id,claim_id,Disagreement explanation,LLM error?,Miske error?,Errors in,Coder,Other notes
QYNq,QYNq_single-trace,"LLM went and fetched data from author website and re-implemented analysis, whereas analyst used a data file and do-file that did not match (not clear where analyst got those)",No,No,Neither,Yoel,
R0ak,R0ak_single-trace,"Not a disagreement, just a difference in labeling. LLM did manage to replicate by reconstructing the missing DV.",No,No,Neither,Yoel,
rjb,rjb_bz1ddg,"There was an error in the code: display.lm(rnd=3) is rounding up numbers before evaluation, hence the discrepancy in results. LLM is more accurate in this case; Miske analysis is true to the results of the code(rounded up to 3 decimal points) but not the actual values. YI: verified that rounded to the paper-reported precision, the match is precise.",No,Yes,SCORE,Jacky,"If this is Push Button, how did the authors of the paper get these results? They were accurate though, according to LLM's logs."
rjb,rjb_gl9nvg,"There was an error in the code: display.lm(rnd=3) is rounding up numbers before evaluation, hence the discrepancy in results. LLM is more accurate in this case; Miske analysis is true to the results of the code but not the actual values.",No,Yes,SCORE,Jacky,
RqVE,RqVE_single-trace,"The given code(ChoicePanel_AEJ1.do) cannot be run because line 21-70 contains variables that results in a crash. Miske avoids this by commenting out line 21-70. LLM avoids this by running a revised version of run_table3.do(no analysis logic was changed, hence 'extended push button'. Both LLM and Miske are precise on the coefficient and p value. Miske does not record t value or N, and LLM is approximate on t value and N.",No,Yes,SCORE,Jacky,"Miske analyst did not fill in sample size, t-statistic, and p-value. LLM was mistakenly provided an older version of the paper but its results match the VOR."
vaWE,vaWE_bzyxpq,"LLM did not do the permutation analysis, this should have been marked ""not attemptable""",Yes,No,LLM,Yoel,
vaWE,vaWE_single-trace,"LLM did not do the permutation analysis, this should have been marked ""not attemptable""",Yes,No,LLM,Yoel,
WLkV,WLkV_single-trace,"LLM added 'ranksum' invocation because the authors' supplement contains the variable-definition file but not a separate analysis do-file for table 2's text statistics, as noted in Miske analysis.",No,No,Neither,Jacky,
xYbO,xYbO_4knqr8,"Miske analysis used wrong code - t value should be computed from Table 1, not Table 3(coder wrote Table 4 but meant Table 3 in study2.sps)",No,Yes,SCORE,Jacky,
xYbO,xYbO_gwl88w,"Coded sample size is wrong (coder may have incorrectly added the F-test degrees of freedom togther to get 366). The paper and LLM agree on 377. However, the LLM should have used partial eta squared as documented in the SPSS code, it incorrectly used overall eta-squared instead (tbf paper did not say partial). This is because SPSS code was re-implemented in Python rather than run directly. Still, given that the correct version was documented in the SPSS code I think the LLM made an error.",Yes,Yes,Both,Jacky,
zK2,zK2_bdj1jb,"They both came to the same conclusion that there was an approximate reproduction, both resulting in t=-0.89. 'repro_secondary_criteria' was correctly labelled as FALSE. Per Claude Code check a string eval bug in the Miske et al. data processing code mis-classified this as precise when it ought to have been approximate per the analyst's numbers.",No,Yes,SCORE,Jacky,
