paper,issue,short_description,coding,rationale
08,1,Analysis code reads CSV files that do not exist in the package,minor,Packaging failure; reproduction possible via the shipped .sav.
08,2,"`age` stored as brackets (2-6) but paper reports years (18-76, M=44.79)",minor,"Not counted as major: Data irregularity, but affects reported sample descriptives, not the claims tested."
08,3,"Multiple overlapping condition/outcome variables, no codebook",minor,Documentation deficiency.
10,1,Published Table 1 note describes the Male dummy backwards (says 'female'),minor,Not counted as major: Transcription-type error (published note inverts the IV definition); estimates and in-text interpretation correct.
10,2,`Cutoff_cumsum_biddinground` dead-code bug: evaluates to 0 for every row,minor,"Dead code; variable unused, cannot impact claims."
10,3,Prior-cutoffs count uses actual leader while DV uses perceived leader,minor,"Report codes as defensible design choice, 'not an error'."
11,1,Published 5% star on col-3 TC not reproducible under the package's own stated wild-bootstrap procedure (p~0.051-0.063); matches asymptotic t instead,major,Transcription/post-regression error: printed significance star contradicts the stated procedure and impacts a tested claim (Brodeur taxonomy dimension iii).
11,2,boottest p-values seed/stream-dependent at the 0.05 boundary,minor,"Methodological fragility, not an error."
11,3,outreg2 asymptotic stars differ from printed bootstrap stars in cols 1-2 (correctly overridden) and col 3 (not),minor,Subsumed by issue 1; reporting-pipeline observation.
11,4,Table A6 outreg2 exports variables that are not regressors in those models,minor,Not counted as major: Coding error in appendix-table export; affects non-assigned exhibit.
11,5,README refers to a differently named do-file,minor,Cosmetic.
12,1,Three stated control variables are time-invariant per station and silently dropped by the FE estimator in every Figure 2 regression,minor,"Not counted as major: Stated controls mechanically dropped; estimates unchanged, claims unaffected."
12,2,Sample filter deletes 0 observations,minor,Non-binding restriction; harmless.
12,3,Footnote-28 competitor-count adjustment applied to the subsample selector but not the covariate,minor,"Cannot establish from the paper whether the covariate was also meant to be adjusted; flagged as ambiguity, not an established error."
12,4,Hard-coded week-count fix for station id 126,minor,Fragile manual patch in the build; not used in Figure 2.
12,5,Treatment varies at province level (8 clusters) but SEs clustered at station level,minor,"Design/inference critique, not a coding error."
