rr_id,claim_id,report_id,repro_version_of_record
65996,Gv3O_q73v5y,65996_304_1,T
mz17,Gv3O_single-trace,mz17_543_1,F
65996,Gv3O_yw46nk,65996_307_1,T
2k7w2,J0Yv_1rz4jk,2k7w2_315_1,T
2k7w2,J0Yv_j6dnjr,2k7w2_314_1,T
2k7w2,J0Yv_pprv8w,2k7w2_311_1,T
2k7w2,J0Yv_q7r1ko,2k7w2_312_1,T
2k7w2,J0Yv_x6ry86,2k7w2_313_1,T
6zzgw,J999_1dy45r,6zzgw_92_1,T
6zzgw,J999_1rr6p1,6zzgw_67_1,T
6zzgw,J999_22zkkv,6zzgw_76_1,T
6zzgw,J999_37l994,6zzgw_86_1,T
6zzgw,J999_426d4l,6zzgw_94_1,T
6zzgw,J999_426ddl,6zzgw_73_1,T
6zzgw,J999_4kkpj1,6zzgw_69_1,T
6zzgw,J999_523vvk,6zzgw_74_1,T
6zzgw,J999_5ooq1z,6zzgw_70_1,T
6zzgw,J999_6dwooq,6zzgw_85_1,T
6zzgw,J999_72pnnp,6zzgw_82_1,T
6zzgw,J999_82q991,6zzgw_77_1,T
6zzgw,J999_9oo4yp,6zzgw_68_1,T
6zzgw,J999_9vxq69,6zzgw_93_1,T
6zzgw,J999_9vxqq9,6zzgw_72_1,T
6zzgw,J999_j66p7x,6zzgw_66_1,T
6zzgw,J999_jkznv9,6zzgw_91_1,T
6zzgw,J999_k4l779,6zzgw_81_1,T
6zzgw,J999_lk6nnz,6zzgw_84_1,T
6zzgw,J999_oypddq,6zzgw_78_1,T
6zzgw,J999_pkqvv1,6zzgw_88_1,T
6zzgw,J999_ppp57q,6zzgw_63_1,T
6zzgw,J999_q77vpr,6zzgw_64_1,T
6zzgw,J999_qyx11d,6zzgw_89_1,T
6zzgw,J999_ry7113,6zzgw_79_1,T
6zzgw,J999_y2looo,6zzgw_75_1,T
8zgg,J999_single-trace,8zgg_518_1,F
6zzgw,J999_vy544w,6zzgw_80_1,T
6zzgw,J999_w2yvv9,6zzgw_87_1,T
6zzgw,J999_x2zyyv,6zzgw_90_1,T
6zzgw,J999_x66l55,6zzgw_65_1,T
6zzgw,J999_yww6yz,6zzgw_71_1,T
6zzgw,J999_zo7ddv,6zzgw_83_1,T
6m516,JRpA_3nyvwv,6m516_17_1,T
6m516,JRpA_6ryjx7,6m516_16_1,T
6m516,JRpA_l8j9xn,6m516_15_1,T
6m516,JRpA_7oy1jv,6m516_13_1,T
8297,JRpA_single-trace,8297_516_1,F
6m516,JRpA_w7j8zq,6m516_18_1,T
6m516,JRpA_zxz13n,6m516_14_1,T
67o46,JxXe_b6d13r,67o46_406_1,T
67o46,JxXe_glk4wl,67o46_405_1,T
67o46,JxXe_m37qpp,67o46_407_1,T
67o46,JxXe_m729o6,67o46_402_1,T
67o46,JxXe_mw21l5,67o46_404_1,T
67o46,JxXe_bzo5x6,67o46_403_1,T
969y,JxXe_single-trace,969y_521_1,F
7my5,KRgk_single-trace,7my5_514_1,T
2g182,L22B_21yo9v,2g182_370_1,T
2g182,L22B_5o7kyk,2g182_368_1,T
2g182,L22B_8rzko1,2g182_371_1,T
2g182,L22B_n39qon,2g182_373_1,T
2g182,L22B_okzxnq,2g182_372_1,T
2g182,L22B_4kyq5l,2g182_367_1,T
96g,L22B_single-trace,96g_522_1,F
2g182,L22B_yw9q1o,2g182_369_1,T
0036,La9x_single-trace,0036_480_1,T
21mg2,LbEB_b2vooo,21mg2_609_1,T
21mg2,LbEB_m5xkkr,21mg2_607_1,T
21mg2,LbEB_m8lkk9,21mg2_610_1,T
21mg2,LbEB_myjqqn,21mg2_608_1,T
21mg2,LbEB_g44qqk,21mg2_606_1,T
y041,LbEB_single-trace,y041_691_1,F
2w93z,LyWB_189dok,2w93z_155_1,T
2w93z,LyWB_285298,2w93z_137_1,T
2w93z,LyWB_2852n8,2w93z_160_1,T
2w93z,LyWB_38274j,2w93z_149_1,T
2w93z,LyWB_48o25d,2w93z_134_1,T
2w93z,LyWB_48o2zd,2w93z_157_1,T
2w93z,LyWB_58d2lx,2w93z_158_1,T
2w93z,LyWB_58d2yx,2w93z_135_1,T
2w93z,LyWB_68vd26,2w93z_148_1,T
2w93z,LyWB_7dz284,2w93z_145_1,T
2w93z,LyWB_8862ov,2w93z_138_1,T
2w93z,LyWB_9zwvp8,2w93z_156_1,T
2w93z,LyWB_b2xzx8,2w93z_127_1,T
2w93z,LyWB_bdnonr,2w93z_131_1,T
2w93z,LyWB_bnxwx9,2w93z_130_1,T
2w93z,LyWB_bojpjy,2w93z_129_1,T
2w93z,LyWB_br474w,2w93z_132_1,T
2w93z,LyWB_dy64qr,2w93z_141_1,T
2w93z,LyWB_g4161d,2w93z_124_1,T
2w93z,LyWB_jl2kor,2w93z_154_1,T
2w93z,LyWB_k6o4yd,2w93z_144_1,T
2w93z,LyWB_l3dk22,2w93z_147_1,T
2w93z,LyWB_m5939x,2w93z_125_1,T
2w93z,LyWB_m8yqyv,2w93z_128_1,T
2w93z,LyWB_mydldv,2w93z_126_1,T
2w93z,LyWB_npzyo9,2w93z_140_1,T
2w93z,LyWB_oq6yny,2w93z_139_1,T
2w93z,LyWB_pxwkzw,2w93z_151_1,T
2w93z,LyWB_qzqywo,2w93z_152_1,T
2w93z,LyWB_rljy6w,2w93z_142_1,T
2w93z,LyWB_9zwvn8,2w93z_133_1,T
g28z,LyWB_single-trace,g28z_527_1,F
2w93z,LyWB_vpoyq5,2w93z_143_1,T
2w93z,LyWB_wqd2x3,2w93z_150_1,T
2w93z,LyWB_xxv246,2w93z_153_1,T
2w93z,LyWB_y7z21v,2w93z_136_1,T
2w93z,LyWB_y7z25v,2w93z_159_1,T
2w93z,LyWB_zl6o9k,2w93z_146_1,T
6o5m6,Njqj_m56p47,6o5m6_374_1,T
6o5m6,Njqj_mynkxx,6o5m6_459_1,T
6o5m6,Njqj_b2r6jp,6o5m6_375_1,F
g1m,Njqj_single-trace,g1m_564_1,T
6ow1o,Nv99_2qq43d,6ow1o_630_1,T
6ow1o,Nv99_3n6w71,6ow1o_631_1,T
6ow1o,Nv99_4jjrp5,6ow1o_633_1,T
6ow1o,Nv99_511rql,6ow1o_634_1,T
6ow1o,Nv99_6rpxdy,6ow1o_628_1,T
6ow1o,Nv99_7oqj2d,6ow1o_625_1,T
6ow1o,Nv99_855nv6,6ow1o_635_1,T
6ow1o,Nv99_9yy941,6ow1o_632_1,T
6ow1o,Nv99_dxd248,6ow1o_621_1,T
6ow1o,Nv99_kzdq4r,6ow1o_624_1,T
6ow1o,Nv99_l8rxkk,6ow1o_627_1,T
6ow1o,Nv99_rxk9y1,6ow1o_622_1,T
2816,Nv99_single-trace,2816_488_1,F
6ow1o,Nv99_vnr7y3,6ow1o_623_1,T
6ow1o,Nv99_yyy36d,6ow1o_629_1,T
6ow1o,Nv99_zxv3o3,6ow1o_626_1,T
2gwz2,OY3B_8r3dlz,2gwz2_325_1,T
2gwz2,OY3B_n38dk7,2gwz2_327_1,T
2gwz2,OY3B_oko481,2gwz2_326_1,T
2gwz2,OY3B_21drv2,2gwz2_324_1,T
k2m7,OY3B_single-trace,k2m7_560_1,F
2gwz2,OY3B_ywpnj6,2gwz2_323_1,T
2y4km,OYX0_5lo662,2y4km_26_1,T
2y4km,OYX0_5o9y12,2y4km_20_1,T
2y4km,OYX0_8wrdd4,2y4km_27_1,T
2y4km,OYX0_n3xo6r,2y4km_25_1,T
2y4km,OYX0_nl3ddr,2y4km_24_1,T
2y4km,OYX0_o7k44p,2y4km_23_1,T
2y4km,OYX0_2n1rrj,2y4km_22_1,T
2y4km,OYX0_y5wnn9,2y4km_19_1,T
2y4km,OYX0_ywd1y9,2y4km_21_1,T
2y3w2,OeGv_8vrpd2,2y3w2_188_1,T
241w6,OeGv_8vrpd2,241w6_194_1,F
2y3w2,OeGv_br469p,2y3w2_184_1,T
241w6,OeGv_br469p,241w6_190_1,F
2y3w2,OeGv_gv8q78,2y3w2_185_1,T
241w6,OeGv_gv8q78,241w6_191_1,F
2y3w2,OeGv_jp69y8,2y3w2_186_1,T
241w6,OeGv_jp69y8,241w6_192_1,F
2y3w2,OeGv_bnxon4,2y3w2_183_1,T
241w6,OeGv_bnxon4,241w6_189_1,F
4980,OeGv_single-trace,4980_500_1,F
2y3w2,OeGv_y6w8q7,2y3w2_187_1,T
241w6,OeGv_y6w8q7,241w6_193_1,F
78gg,Ovkm_single-trace,78gg_513_1,T
6z8o6,P1rY_4q9w49,6z8o6_432_1,T
6z8o6,P1rY_5k4pxj,6z8o6_433_1,T
6z8o6,P1rY_98316l,6z8o6_431_1,T
6z8o6,P1rY_b422v6,6z8o6_428_1,T
6z8o6,P1rY_bjkk4q,6z8o6_425_1,T
6z8o6,P1rY_bpkknx,6z8o6_422_1,T
6z8o6,P1rY_g522zw,6z8o6_429_1,T
6z8o6,P1rY_gqyydv,6z8o6_423_1,T
6z8o6,P1rY_gy22py,6z8o6_430_1,T
6z8o6,P1rY_m1ddnx,6z8o6_426_1,T
6z8o6,P1rY_mx22w2,6z8o6_424_1,T
6z8o6,P1rY_m9vv75,6z8o6_427_1,T
328k,P1rY_single-trace,328k_493_1,F
1y2,P3NJ_single-trace,1y2_572_1,T
32z3,P8az_single-trace,32z3_494_1,T
69y19,PVQK_single-trace,69y19_260_1,T
288y4,PkXJ_single-trace,288y4_462_1,T
288kk,Pxp7_9zwjd3,288kk_119_1,T
288kk,Pxp7_b4137v,288kk_117_1,T
288kk,Pxp7_bj3dj5,288kk_115_1,T
288kk,Pxp7_gq9rkp,288kk_113_1,T
288kk,Pxp7_gydr78,288kk_118_1,T
288kk,Pxp7_m92jd2,288kk_116_1,T
288kk,Pxp7_mxnr8k,288kk_114_1,T
288kk,Pxp7_bp1rdr,288kk_112_1,T
7226,Pxp7_single-trace,7226_680_1,F
2w94o,Q1dl_bl5l8k,2w94o_253_1,T
2w94o,Q1dl_g3k5n1,2w94o_255_1,T
2w94o,Q1dl_gp2opq,2w94o_257_1,T
2w94o,Q1dl_gw6n71,2w94o_256_1,T
2w94o,Q1dl_m6knry,2w94o_254_1,T
2w94o,Q1dl_mqjo7r,2w94o_258_1,T
2w94o,Q1dl_bx3d65,2w94o_259_1,T
05k6,Q1dl_single-trace,05k6_481_1,F
2zk7,QYNq_single-trace,2zk7_686_1,T
17y4,R0ak_single-trace,17y4_692_1,T
zz51,R3eV_single-trace,zz51_689_1,T
615k,R3pV_single-trace,615k_584_1,T
2k5g2,RYKv_3w5kdk,2k5g2_9_1,T
2k5g2,RYKv_6xnk65,2k5g2_8_1,T
2k5g2,RYKv_p5o238,2k5g2_11_1,T
2k5g2,RYKv_g41jx8,2k5g2_6_1,T
2k5g2,RYKv_wzn69v,2k5g2_10_1,T
2k5g2,RYKv_y68q1l,2k5g2_7_1,T
5yg9,Rjp9_single-trace,5yg9_505_1,T
9k3g,RqVE_single-trace,9k3g_565_1,T
2yz86,Ryq7_single-trace,2yz86_443_1,F
95my,Ryq7_single-trace,95my_677_1,T
57g6,V0PA_single-trace,57g6_502_1,T
94yy,V3pK_single-trace,94yy_677_1,T
6m31g,VBx1_single-trace,6m31g_244_1,T
6z582,VDJV_bnoz9x,6z582_266_1,T
6z582,VDJV_bon6z7,6z582_265_1,T
6z582,VDJV_g45oy6,6z582_261_1,T
6z582,VDJV_m5yd7w,6z582_262_1,T
6z582,VDJV_m8o6zo,6z582_264_1,T
6z582,VDJV_my1z9y,6z582_263_1,T
6z582,VDJV_b295y6,6z582_267_1,T
g6yz,VDJV_single-trace,g6yz_531_1,F
2zmg,VRKK_single-trace,2zmg_681_1,T
0937,Vx4e_single-trace,0937_482_1,T
g7z1,W0GN_single-trace,g7z1_532_1,T
307k,W3vN_single-trace,307k_575_1,T
538,W3vr_single-trace,538_582_1,T
gy3z,WLkV_single-trace,gy3z_684_1,T
316k,Wre_single-trace,316k_492_1,T
90z7,Y3pK_single-trace,90z7_589_1,T
g8m,YOXl_single-trace,g8m_533_1,T
3g4k,YRvg_single-trace,3g4k_676_1,T
2y474,YabW_single-trace,2y474_246_1,T
m4m7,YeQg_single-trace,m4m7_539_1,T
2kgyw,YpZZ_m7k461,2kgyw_181_1,T
2kgyw,YpZZ_single-trace,2kgyw_180_1,F
1012,YpZZ_single-trace,1012_483_1,T
8m1,Z0ma_single-trace,8m1_517_1,T
g9z,Z3mK_single-trace,g9z_592_1,T
28m96,a2Yx_1yppy7,28m96_334_1,T
28m96,a2Yx_2zqqpk,28m96_352_1,T
28m96,a2Yx_3n7jn1,28m96_344_1,T
28m96,a2Yx_46jj6r,28m96_336_1,T
28m96,a2Yx_46jjxr,28m96_349_1,T
28m96,a2Yx_531136,28m96_337_1,T
28m96,a2Yx_5311j6,28m96_350_1,T
28m96,a2Yx_6rd4ry,28m96_343_1,T
28m96,a2Yx_6w9919,28m96_363_1,T
28m96,a2Yx_7o25od,28m96_340_1,T
28m96,a2Yx_7p4499,28m96_360_1,T
28m96,a2Yx_8q554l,28m96_353_1,T
28m96,a2Yx_9xyy5o,28m96_348_1,T
28m96,a2Yx_9xyyxo,28m96_335_1,T
28m96,a2Yx_dojj32,28m96_356_1,T
28m96,a2Yx_jz7712,28m96_333_1,T
28m96,a2Yx_kl889p,28m96_359_1,T
28m96,a2Yx_kz4wzr,28m96_339_1,T
28m96,a2Yx_l6zz4r,28m96_362_1,T
28m96,a2Yx_l8kp8k,28m96_342_1,T
28m96,a2Yx_nw667p,28m96_355_1,T
28m96,a2Yx_op33lv,28m96_354_1,T
28m96,a2Yx_ppk1pq,28m96_346_1,T
28m96,a2Yx_pq7763,28m96_330_1,T
28m96,a2Yx_q7y97r,28m96_347_1,T
28m96,a2Yx_qxpp39,28m96_331_1,T
28m96,a2Yx_r7qqwy,28m96_357_1,T
28m96,a2Yx_3lxxq3,28m96_328_1,T
96ky,a2Yx_single-trace,96ky_523_1,T
28m96,a2Yx_v599jx,28m96_358_1,T
28m96,a2Yx_w72o71,28m96_345_1,T
28m96,a2Yx_wy441x,28m96_329_1,T
28m96,a2Yx_xz559w,28m96_332_1,T
28m96,a2Yx_ylyy4q,28m96_351_1,T
28m96,a2Yx_ylyylq,28m96_338_1,T
28m96,a2Yx_z72257,28m96_361_1,T
28m96,a2Yx_zxorx3,28m96_341_1,T
235w2,amYY_bzp733,235w2_283_1,T
235w2,amYY_glo6xk,235w2_284_1,T
235w2,amYY_m3zlw1,235w2_286_1,T
235w2,amYY_m7vpjd,235w2_282_1,T
235w2,amYY_mk1lqr,235w2_281_1,T
235w2,amYY_b65wxy,235w2_285_1,T
m9k3,amYY_single-trace,m9k3_541_1,F
5g09,b344_single-trace,5g09_583_1,T
7mgg,b3RA_single-trace,7mgg_586_1,T
24733,bLe8_single-trace,24733_461_1,T
g0m,dPzV_single-trace,g0m_591_1,T
2kgw8,e2pq_single-trace,2kgw8_463_1,T
67746,e5rW_6rr1l5,67746_364_1,T
67746,e5rW_ppp6n8,67746_366_1,T
1962,e5rW_single-trace,1962_487_1,T
67746,e5rW_w7713v,67746_365_1,T
2w9oz,eg1q_gpp38z,2w9oz_219_1,T
2w9oz,eg1q_single-trace,2w9oz_218_1,T
80yg,eg1q_single-trace,80yg_515_1,F
38y3,exBp_single-trace,38y3_556_1,T
6owm3,g0XQ_single-trace,6owm3_41_1,T
67m8,gA3A_single-trace,67m8_587_1,T
6m2k,gA8z_single-trace,6m2k_585_1,T
3z03,gdlO_single-trace,3z03_497_1,T
21y7,j51N_single-trace,21y7_574_1,T
2w1k2,jDWN_bz2289,2w1k2_464_1,T
2w1k2,jDWN_glzzv7,2w1k2_465_1,T
2w1k2,jDWN_m7447x,2w1k2_466_1,T
6727,jaK4_single-trace,6727_509_1,T
2kgg8,k7wj_single-trace,2kgg8_247_1,T
kzyz,kXp8_single-trace,kzyz_563_1,T
zz11,ky28_single-trace,zz11_552_1,T
y791,lxXV_single-trace,y791_478_1,T
5916,mrZ_single-trace,5916_503_1,T
mym7,p2qE_single-trace,mym7_594_1,T
231w2,pqzK_b27wv7,231w2_417_1,T
